corpus_id,reviewer,date,scenario_id,flow,occasion,relationship,context_richness,version,hf_any,hf_codes,d01_opening,d02_closing,d03_emotion_prog,d04_naturalness,d05_authenticity,d06_rhythm,d07_voice,d08_occasion,d09_relationship,d10_tone,d11_emotional_level,d12_primary_clarity,d13_support_use,d14_specificity,d15_warmth,d16_humor,d17_memorability,d18_read_aloud,d19_anti_ai,d20_send_readiness,soft_mean,send_yes,tags,notes_short
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G11,guest,Thank You,Coworker,primary_only,Draft,No,,4,3,3,4,4,4,4,5,5,4,4,5,N/A,4,3,N/A,3,4,3,3,3.83,No,"Q-DEED-EARLY,Q-REGISTER-TIGHT,P-UNIFORM-SENTENCES",Middle improves (pressure + return favor) but thank/appreciate/Thanks-again stack remains. Target NOT cleared.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G12,guest,Congratulations,Boss,primary_only,Draft,No,,5,4,3,5,5,4,5,5,5,5,4,5,N/A,4,3,N/A,4,5,5,5,4.50,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE",VP + run-a-room; professional distance held.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G13,guest,Thank You,Teacher,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Reading confidence + hair-to-volunteer proof; warmth holds. Soft HOLD (−0.06).
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G14,guest,Birthday,Sister,primary_plus_support,Draft,No,,5,4,4,5,5,4,5,5,5,5,4,5,5,5,3,5,4,4,4,4,4.50,Yes,"Q-HUMOR-LANDS,Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-SPOKEN-RHYTHM",Tacos/zero advice lands; sideways-caller line repeats once.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G15,authenticated_body,Birthday,Dad,rich,Draft,No,,4,4,4,4,5,4,5,4,5,4,4,4,5,5,4,N/A,4,4,4,4,4.26,Yes,"Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE",Teach-fix + sink; birthday + speaker close compact.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G16,authenticated_body,Thank You,Mom,rich,Draft,No,,5,5,4,4,5,4,5,5,5,4,4,5,5,5,4,N/A,4,4,4,5,4.53,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Insurance + hold; tough/stubborn profile color; covered/breathe close. Send holds.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G17,authenticated_body,Anniversary,Husband,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,N/A,4,5,4,5,4.74,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT",Errands primary; stove kept; fries joke dropped. Soft protect dip.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G18,authenticated_body,Get Well,Coworker,sparse,Draft,No,,5,4,3,4,4,4,5,5,5,4,4,5,N/A,4,4,N/A,4,4,4,4,4.22,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-HONEST-SPARSE",Surgery + waiting-room coffee; deadline reliability close.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G19,authenticated_body,Graduation,Daughter,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE",Diploma + senior project + community; concrete hold-diploma close; no P-AI-CLAIMS.
pilot-9B.2-v1-20260720,Cursor evaluator (single-pass),2026-07-20,G20,authenticated_body,Apology,Friend,rich,Draft,No,,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,N/A,4,5,5,5,4.79,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-SPOKEN-RHYTHM,Q-HONEST-SPARSE",Owns cancel; corner-table once; clean do-over offer.
