corpus_id,reviewer,date,scenario_id,flow,occasion,relationship,context_richness,version,hf_any,hf_codes,d01_opening,d02_closing,d03_emotion_prog,d04_naturalness,d05_authenticity,d06_rhythm,d07_voice,d08_occasion,d09_relationship,d10_tone,d11_emotional_level,d12_primary_clarity,d13_support_use,d14_specificity,d15_warmth,d16_humor,d17_memorability,d18_read_aloud,d19_anti_ai,d20_send_readiness,soft_mean,send_yes,tags,notes_short
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G11,guest,"Thank You",Coworker,primary_only,Draft,No,,4,3,3,3,3,2,3,5,5,4,4,5,N/A,5,3,N/A,3,3,2,3,3.50,No,"Q-DEED-EARLY,Q-REGISTER-TIGHT,P-UNIFORM-SENTENCES,P-LENGTH-BLOAT","Deed clear and professional; nearly triple-thank template cadence."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G12,guest,"Congratulations",Boss,primary_only,Draft,No,,5,4,3,5,5,4,5,5,5,5,4,5,N/A,4,3,N/A,4,5,5,5,4.50,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-EARNED-CLOSE,Q-HONEST-SPARSE","VP + run-a-room; tight professional distance."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G13,guest,"Thank You",Teacher,primary_plus_support,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,5,5,4.95,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT","Reading confidence primary; hair-to-volunteer support as proof."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G14,guest,"Birthday",Sister,primary_plus_support,Draft,No,,5,4,4,5,5,4,5,5,5,5,4,5,5,5,3,5,5,5,4,5,4.65,Yes,"Q-HUMOR-LANDS,Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-SPOKEN-RHYTHM","Sideways caller + tacos/zero advice; roast-boundary respected."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G15,authenticated_body,"Birthday",Dad,rich,Draft,No,,3,4,4,4,5,4,5,4,5,4,4,4,5,5,4,N/A,4,4,4,4,4.21,Yes,"Q-SUPPORT-AS-COLOR,Q-DEED-EARLY,Q-REGISTER-TIGHT","Teach-fix + sink color; birthday delayed one line; coffee/hardware profile used lightly."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G16,authenticated_body,"Thank You",Mom,rich,Draft,No,,4,3,4,3,4,3,4,5,5,4,4,5,5,5,4,N/A,3,3,2,3,3.84,No,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,P-GRATITUDE-ESSAY,P-AI-CLAIMS,P-LENGTH-BLOAT","Insurance + hold retained; essay close softens send."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G17,authenticated_body,"Anniversary",Husband,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,Q-REGISTER-TIGHT,P-LENGTH-BLOAT","Errands primary; stove + fries color; deep without cheese; long."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G18,authenticated_body,"Get Well",Coworker,sparse,Draft,No,,5,4,3,4,4,4,5,5,5,4,4,5,N/A,4,4,N/A,4,4,4,4,4.22,Yes,"Q-DEED-EARLY,Q-REGISTER-TIGHT,Q-HONEST-SPARSE","Surgery recovery + coffee from primary; deadline reliability as light close."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G19,authenticated_body,"Graduation",Daughter,rich,Draft,No,,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,N/A,5,5,4,5,4.89,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-SPOKEN-RHYTHM,Q-EARNED-CLOSE,P-AI-CLAIMS","Diploma + senior project + quieter-classmate weave; mild I-see cadence."
pilot-9A.2-20260715,"Cursor evaluator (single-pass)",2026-07-15,G20,authenticated_body,"Apology",Friend,rich,Draft,No,,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,N/A,4,5,5,5,4.79,Yes,"Q-DEED-EARLY,Q-SUPPORT-AS-COLOR,Q-EARNED-CLOSE,Q-SPOKEN-RHYTHM,Q-HONEST-SPARSE","Owns cancel; corner-table detail once; clean make-good offer."
